no_tiket,balasan
TIKET-20250806071934,pakai google bisa tapi ga unlimited
TIKET-20250806071934,pakai google bisa tapi ga unlimited
TIKET-20250806071934,pakai google bisa tapi ga unlimited
TIKET-20250806051058,Pesan test reply webhook
TIKET-20250805001,Ini adalah tes balasan webhook
TIKET-20250806082733,uye
TIKET-20250806082733,uye
TIKET-20250807004900,Bismillah bisa bisa...
TIKET-20250807012223,yoi
TIKET-20250807012223,uye
TIKET-20250807012223,isi_balasan
TIKET-20250807013714,siang ini makan apa
TIKET-20250807014214,yumei
TIKET-20250807053747,tes nih
TIKET-20250807061040,isi_balasan
TIKET-20250807070347,tes
TIKET-20250807074430,ISI_BALASAN
TIKET-20250807075303,ok
TIKET-20250807075523,uy juga
TIKET-20250807080232,balasan Anda lagi
TIKET-20250807081143,balasan Anda
TIKET-20250807083009,auuu
TIKET-20250807090229,eh kaget
TIKET-20250807091240,belum tampil juga
